Description,Price/Unit,Unit,Price/Measure,Measure
Hovis Soft Medium Sliced White Bread 800g,1.10,unit,14p,100g
Sainsbury's Plain Tortilla Wraps x8 512g,90p,unit,11p,ea
Kingsmill Medium Sliced 50/50 Bread 800g,1.00,unit,13p,100g
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g,1.60,unit,20p,100g
"New York Bakery Co. Bagels, Plain x5",1.60,unit,32p,ea
Warburtons Crumpets x6,90p,unit,15p,ea
Hovis Medium Sliced Wholemeal Bread 800g,1.10,unit,14p,100g
Sainsbury's Crumpets x8,35p,unit,4p,ea
Warburtons Toastie Thick Sliced White Bread 800g,1.10,unit,14p,100g
Hovis Soft Thick Sliced White Bread 800g,1.10,unit,14p,100g
Hovis Medium Sliced Best of Both Bread 750g,1.15,unit,15p,100g
Sainsbury's White Rolls x6,70p,unit,12p,ea
Sainsbury's Medium Sliced Wholemeal Bread 800g,55p,unit,7p,100g
"Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g",1.10,unit,14p,100g
Warburtons Thick Sliced Seeded Bread 800g,1.60,unit,20p,100g
Sainsbury's White Bake At Home Baguettes x2,85p,unit,43p,ea
Warburtons Soft Farmhouse Medium Sliced White Bread 800g,1.35,unit,17p,100g
Warburtons Medium Sliced Wholemeal Bread 400g,85p,unit,21p,100g
Sainsbury's Garlic Baguette x2 420g,1.00,unit,24p,100g
Sainsbury's Soft Medium Sliced White Bread 800g,55p,unit,7p,100g
Warburtons Medium Sliced White Bread 800g,1.10,unit,14p,100g
Kingsmill Soft Medium Sliced White Bread 800g,80p,unit,10p,100g
Sainsbury's White Finger Rolls x6,70p,unit,12p,ea
Sainsbury's White Pittas x6,45p,unit,8p,ea
Sainsbury's Milk Chocolate Chip Brioche Roll x8,1.10,unit,14p,ea
"Sainsbury's Fruity Hot Cross Buns, Taste the Difference x4 280g",1.50,unit,38p,ea
Sainsbury's Wholemeal Pittas x6,45p,unit,8p,ea
Hovis Granary Medium Sliced Bread 800g,1.50,unit,19p,100g
